OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325895"",""72061120RFA00003"")",USAID Zambia Accessible Markets for Health (ZAM-Health) Activity,USAID-ZAM,Zambia USAID-Lusaka,,1,"Alfred M Kapambwe
A and A Specialist",,oaa-solicit-lusaka@usaid.gov,,,03/30/2020,05/28/2020,05/11/2020 07:50:11,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325876"",""DHS-20-TTP-132-00-01"")",Fiscal Year (FY) 2020 Targeted Violence and Terrorism Prevention (TVTP) Program,DHS-DHS,Department of Homeland Security - FEMA,10000000,50,"Systems, GPD
GMD-Systems-Branch@fema.gov",,GMD-Systems-Branch@fema.gov,,,03/30/2020,06/17/2020,05/15/2020 11:07:15,Synopsis 5,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325873"",""MBDA-OBD-2020-2006443"")",Enterprising Women of Color,DOC,Department of Commerce,3000000,3,"Nakita Chambers
MBDA Program Manager
U.S. Department of Commerce
1401 Constitution Ave., N.W., Room 5079
Washington, DC 20230
Email: nchambers@mbda.gov
Tel: 202-482-0065",,nchambers@mbda.gov,,,03/29/2020,05/30/2020,03/29/2020 07:26:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=323946"",""HHS-2020-ACL-AOA-INNU-0404"")",Innovations in Nutrition Programs and Services - Demonstration,HHS-ACL,Administration for Community Living,2500000,10,"Phantane Sprowls
Phantane.Sprowls@acl.hhs.gov",,Phantane.Sprowls@acl.hhs.gov,,,03/27/2020,05/26/2020,03/27/2020 12:17:27,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=323947"",""HHS-2020-ACL-AOA-INNU-0403"")",Innovations in Nutrition Programs and Services - Research,HHS-ACL,Administration for Community Living,600000,2,"Phantane Sprowls
Phantane.Sprowls@acl.hhs.gov",,Phantane.Sprowls@acl.hhs.gov,,,03/27/2020,05/26/2020,03/27/2020 11:58:27,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325832"",""DE-FOA-0002291"")",Request for Information: Funding Opportunity Announcement 2206 - Connected Communities,DOE-GFO,Golden Field Office,0,0,"Erika S. Gupta 202-586-3152
erika.gupta@ee.doe.gov",,erika.gupta@ee.doe.gov,,,03/27/2020,,03/27/2020 11:19:27,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325830"",""RFA-OH-21-002"")",Cooperative Research Agreements Related to the World Trade Center Health Program (U01),HHS-CDC-HHSCDCERA,Centers for Disease Control and Prevention - ERA,75000000,40,James Yiin,513.841.4271,jcy5@cdc.gov,07/15/2020,12/08/2020,03/27/2020,,03/27/2020 10:27:27,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325805"",""2020-NIST-SBIR-02"")",The Small Business Innovation Research (SBIR) Program Phase II,DOC-NIST,National Institute of Standards and Technology,4800000,12,"Leon Sampson
NOFO Coordinator
Phone 301-975-3086",,leon.sampson@nist.gov,,,03/27/2020,05/26/2020,03/27/2020 08:54:27,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325829"",""TI-20-012"")",State Opioid Response Grants,HHS-SAMHS-SAMHSA,Substance Abuse and Mental Health Services Adminis,1420000000,59,OPIOIDSOR@samhsa.hhs.gov,,OPIOIDSOR@samhsa.hhs.gov,,,03/27/2020,05/19/2020,03/27/2020 11:25:27,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=323839"",""HHS-2020-ACL-NIDILRR-BISB-0400"")",Small Business Innovation Research Program (SBIR) Phase II,HHS-ACL,Administration for Community Living,1150000,4,"Brian Bard
brian.bard@acl.hhs.gov",,brian.bard@acl.hhs.gov,,,03/27/2020,06/10/2020,03/27/2020 14:45:27,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325831"",""DE-FOA-0002317"")",ENERGY TECHNOLOGY DEPLOYMENT ON TRIBAL LANDS - 2020,DOE-GFO,Golden Field Office,15000000,12,"Lizana K. Pierce 720-356-1749
lizana.pierce@ee.doe.gov",,lizana.pierce@ee.doe.gov,,,03/27/2020,07/01/2020,04/09/2020 11:33:09,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324377"",""CDC-RFA-CE20-2001"")",Comprehensive Suicide Prevention,HHS-CDC-NCIPC,Centers for Disease Control - NCIPC,35000000,10,"Audrey Aaron-Moffitt
hin4@cdc.gov",,hin4@cdc.gov,,,03/27/2020,05/26/2020,04/22/2020 14:27:22,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=323188"",""HHS-2020-ACF-ACYF-SR-1849"")",Sexual Risk Avoidance Education Program,HHS-ACF-FYSB,Administration for Children & Families - ACYF/FYSB,33500000,40,"ACF Applications Help Desk
app_support@acf.hhs.gov",,app_support@acf.hhs.gov,,,03/27/2020,05/26/2020,04/27/2020 08:21:27,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324154"",""CDC-RFA-DP20-2007"")",Behavioral Risk Factor Surveillance System (BRFSS): Impact in Population Health,HHS-CDC-NCCDPHP,Centers for Disease Control - NCCDPHP,70500000,57,"Rosalyn Bell
AII9@cdc.gov",,AII9@cdc.gov,,,03/27/2020,05/29/2020,04/29/2020 18:06:29,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324338"",""HHS-2020-ACL-AOA-ADPI-0418"")",Alzheimer's Disease Programs Initiative - Dementia Capability in Indian Country,HHS-ACL,Administration for Community Living,1000000,4,"Erin Long
Erin.Long@acl.gov",,Erin.Long@acl.gov,,,03/27/2020,06/09/2020,04/27/2020 16:50:27,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325807"",""SFOP0006706"")",Combat Wildlife Trafficking in China,DOS-INL,Bureau of International Narcotics-Law Enforcement,,1,Leslie Catherwood,,washingtonnd@state.gov,,,03/27/2020,05/27/2020,04/28/2020 19:04:28,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325827"",""ND-NOFO-20-102"")",Combatting Trafficking in North India,DOS-IND,U.S. Mission to India,50000,1,"Grant Applications Manager, 
U.S. Embassy, New Delhi",,ND_GrantApplications@state.gov,,,03/27/2020,05/26/2020,05/14/2020 04:28:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325826"",""ND-NOFO-20-101"")",Think Twice: Caravan to Safeguard Against Disinformation,DOS-IND,U.S. Mission to India,70000,1,"Grant Applications Manager, 
U.S. Embassy, New Delhi",,ND_GrantApplications@state.gov,,,03/27/2020,05/26/2020,05/14/2020 04:41:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=322341"",""CDC-RFA-GH20-2083"")",Reducing the burden of parasitic infections in the United States through evidence-based prevention and control activities,HHS-CDC-CGH,Centers for Disease Control - CGH,10000000,7,"Emily Dodd
edodd@cdc.gov",,edodd@cdc.gov,,,03/27/2020,06/15/2020,05/13/2020 12:22:13,Synopsis 5,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325772"",""ED-GRANTS-032520-001"")",Institute of Education Sciences (IES): Statistical and Research Methodology in Education CFDA Number 84.305D,ED,Department of Education,,,"Program Manager:
Phill Gagne
U.S. Department of Education
Institute of Education Sciences
e-Mail: Phill.Gagne@ed.gov",,Phill.Gagne@ed.gov,,,03/26/2020,07/30/2020,03/26/2020 08:45:26,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325793"",""ED-GRANTS-032520-002"")",Institute of Education Sciences (IES): Using Longitudinal Data to Support State Education Policymaking Grantmaking Programs CFDA Number 84.305S,ED,Department of Education,,,"Program Manager
Allen Ruby
U.S. Department of Education
Institute of Education Sciences
Allen.Ruby@ed.gov",,Allen.Ruby@ed.gov,,,03/26/2020,07/30/2020,03/26/2020 09:15:26,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324265"",""HHS-2020-ACL-NIDILRR-DPGE-0415"")",Disability and Rehabilitation Research Projects (DRRP): Assistive Technology to Promote Independence and Community Living,HHS-ACL,Administration for Community Living,2000000,4,"Stephen Bauer
Stephen.Bauer@acl.hhs.gov",,Stephen.Bauer@acl.hhs.gov,,,03/26/2020,05/26/2020,03/26/2020 15:18:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325815"",""L20AS00012"")",FY20 Nevada BLM Plant Conservation and Restoration Management,DOI-BLM,Bureau of Land Management,700000,7,"Grants Management Officer Lisa Nicholson (775) 861-6485
lnicholson@blm.gov",,lnicholson@blm.gov,,,03/26/2020,05/26/2020,03/26/2020 12:00:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325817"",""L20AS00020"")",Nevada Rangeland Resource Management,DOI-BLM,Bureau of Land Management,500000,5,"Lisa Nicholson (775) 861-6485
lnicholson@blm.gov",,lnicholson@blm.gov,,,03/26/2020,05/26/2020,03/26/2020 13:19:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325819"",""L20AS00021"")",NV Fuels Management & Community Fire Assistance Program Activities,DOI-BLM,Bureau of Land Management,750000,5,"Lisa Nicholson (775) 861-6485
lnicholson@blm.gov",,lnicholson@blm.gov,,,03/26/2020,05/26/2020,03/26/2020 13:44:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325802"",""W81EWF-20-SOI-0014"")","Demographic, Movement, and Habitat Studies of the Endangered Snail Kite in Response to Operational Plans in WCA 3A",DOD-COE-ERDC,Engineer Research and Development Center,2175000,1,"Amanda Andrews
Contract Specialist
Phone 601-634-5249",,amanda.andrews@usace.army.mil,,,03/26/2020,05/30/2020,03/26/2020 16:25:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321990"",""HHS-2020-ACF-OPRE-YE-1823"")",Early Care and Education Research Scholars: Child Care Dissertation Grants,HHS-ACF-OPRE,Administration for Children and Families - OPRE,150000,6,"ACF Applications Help Desk
app_support@acf.hhs.gov",,app_support@acf.hhs.gov,,,03/26/2020,06/04/2020,03/26/2020 14:59:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321989"",""HHS-2020-ACF-OPRE-YR-1822"")",Early Care and Education Research Scholars: Head Start Dissertation Grants,HHS-ACF-OPRE,Administration for Children and Families - OPRE,150000,6,"ACF Applications Help Desk
app_support@acf.hhs.gov",,app_support@acf.hhs.gov,,,03/26/2020,06/05/2020,03/26/2020 14:47:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325820"",""L20AS00068"")",Nevada Wildlife Resource Management,DOI-BLM,Bureau of Land Management,500000,4,"Lisa Nicholson (775) 861-6485
lnicholson@blm.gov",,lnicholson@blm.gov,,,03/26/2020,05/26/2020,03/26/2020 15:16:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325823"",""NOAA-NOS-OCS-2020-2006385"")",Joint Hydrographic Center 2020,DOC,Department of Commerce,38500000,1,"Mr. Andrew Armstrong	603.862.4559	Joint Hydrographic Center
24 Colovos RD, Durham, NH 03824",,Andy.Armstrong@noaa.gov,,,03/26/2020,05/21/2020,03/26/2020 20:34:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325798"",""L20AS00023"")",NV Fisheries and Aquatic Resource Management,DOI-BLM,Bureau of Land Management,2000000,5,"Lisa Nicholson (775) 861-6485
lnicholson@blm.gov",,lnicholson@blm.gov,,,03/26/2020,05/26/2020,03/26/2020 14:14:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325818"",""L20AS00022"")",FY2020 Nevada BLM Threatened and Endangered Species Funding Opportunity Announcement,DOI-BLM,Bureau of Land Management,500000,5,"Grants Management Officer Lisa Nicholson (775) 861-6485
lnicholson@blm.gov",,lnicholson@blm.gov,,,03/26/2020,05/26/2020,03/26/2020 13:26:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325795"",""L20AS00019"")",Nevada Invasive and Noxious Management,DOI-BLM,Bureau of Land Management,1500000,15,"Lisa Nicholson (775) 861-6485
lnicholson@blm.gov",,lnicholson@blm.gov,,,03/26/2020,05/26/2020,04/01/2020 11:24:01,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325797"",""20CS09"")",Developing Organizational Resources to Support Behavioral Change,USDOJ-BOP-NIC,National Institute of Corrections,80000,1,"Cameron D Coblentz
Grantor
Phone 202-514-0053",,ccoblentz@bop.gov,,,03/26/2020,05/25/2020,03/31/2020 13:44:31,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325816"",""PAR-20-150"")",NIMHD Exploratory/Developmental Research Grant Program (R21 - Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,03/26/2020,05/07/2023,04/15/2020 12:07:15,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=323855"",""RFA-CE-20-005"")",Rigorously Evaluating Approaches to Prevent Adult-Perpetrated Child Sex Abuse (CSA),HHS-CDC-HHSCDCERA,Centers for Disease Control and Prevention - ERA,3200000,2,"Sue Neurath
SFN8@cdc.gov",,SFN8@cdc.gov,,,03/26/2020,05/29/2020,04/30/2020 16:34:30,Synopsis 5,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325824"",""NOAA-NOS-OCS-2020-2006381"")",Ocean and Coastal Mapping Centers,DOC,Department of Commerce,9000000,1,"Teresa   Fleisher	(240) 847-8252
1315 East West Hwy
Sta. 6708
N/CS1, Silver Spring, MD 20910",,teresa.fleisher@noaa.gov,,,03/26/2020,05/22/2020,05/14/2020 16:21:14,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325764"",""M-NOFO-20-103"")",Stopping the Spread of Disinformation - Training Emerging Journalists,DOS-IND,U.S. Mission to India,75000,1,"Grant Applications Manager
MumbaiGrants@state.gov",,MumbaiGrants@state.gov,,,03/26/2020,05/22/2020,05/17/2020 13:12:17,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=323733"",""CDC-RFA-DP20-2004"")",BOLD Public Health Programs to Address Alzheimer's Disease and Related Dementias,HHS-CDC-NCCDPHP,Centers for Disease Control - NCCDPHP,11100000,15,"Heidi Holt
BOLDProgramsNOFO@cdc.gov",,BOLDProgramsNOFO@cdc.gov,,,03/25/2020,05/26/2020,03/25/2020 14:39:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=323686"",""CDC-RFA-DP20-2005"")",BOLD Public Health Centers of Excellence to Address Alzheimer's Disease and Related Dementias,HHS-CDC-NCCDPHP,Centers for Disease Control - NCCDPHP,7500000,3,"Lisa Garbarino
BOLDCentersNOFO@cdc.gov",,BOLDCentersNOFO@cdc.gov,,,03/25/2020,05/26/2020,03/25/2020 14:50:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325785"",""L20AS00016"")",Nevada Recreation and Visitors Services,DOI-BLM,Bureau of Land Management,500000,5,"Lisa Nicholson (775) 861-6485
lnicholson@blm.gov",,lnicholson@blm.gov,,,03/25/2020,05/25/2020,03/26/2020 11:42:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325777"",""S20AS00005"")",Science and Technology Projects Related to Coal Mining and Reclamation,DOI-OSM,Office of Surface Mining,1500000,8,"Yetunde Richardson, (202) 208-2766",,yrichardson@osmre.gov,,,03/25/2020,05/25/2020,03/25/2020 12:25:25,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325779"",""PAR-20-147"")",Extracellular RNA carrier subclasses in processes relevant to Substance Use Disorders or HIV infection (R01- Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,03/25/2020,05/07/2023,03/25/2020 13:02:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325780"",""PAR-20-148"")",Extracellular RNA carrier subclasses in processes relevant to Substance Use Disorders or HIV infection (R21- Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,03/25/2020,05/07/2023,03/25/2020 13:07:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325775"",""NNH20ZDA001N-SWO2R"")",ROSES 2020: Space Weather Science Application Operations-to-Research,NASA-HQ,NASA Headquarters,,,"James Spann
Heliophysics Division
Science mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: 202-358-0574
Email: jim.spann@nasa.gov",,jim.spann@nasa.gov,,,03/25/2020,12/16/2020,03/25/2020 11:01:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325761"",""OVC-2020-17932"")",OVC FY 2020 Developing Future Victim Specialists to Serve American Indian/Alaska Native Victims of Crime,USDOJ-OJP-OVC,Office for Victims of Crime,3600000,8,"For assistance with any other requirements of this solicitation, contact the National Criminal Justice Reference Service (NCJRS) Response Center: toll free at 8008513420; via TTY at 3012406310 (hearing impaired only); email to grants@ncjrs.gov; fax to 3012405830; or web chat at https://webcontact.ncjrs.gov/ncjchat/chat.jsp. The NCJRS Response Center p.m., eastern time, Monday through Friday, and from 10:00 a.m.8:00 p.m., eastern time, on the solicitation closing date.
grants@ncjrs.gov",,grants@ncjrs.gov,,,03/25/2020,05/26/2020,03/25/2020 11:04:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325768"",""L20AS00017"")",Nevada Cultural and Paleontological Resource Management,DOI-BLM,Bureau of Land Management,300000,3,"Grants and Agreements Officer Lisa Nicholson (775) 861-6485
lnicholson@blm.gov",,lnicholson@blm.gov,,,03/25/2020,05/25/2020,03/25/2020 16:58:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325769"",""OJJDP-2020-17092"")",OJJDP FY 20 Comprehensive Anti-Gang Programs for Youth,USDOJ-OJP-OJJDP,Office of Juvenile Justice Delinquency Prevention ,6530000,19,"For technical assistance with submitting an application, contact the Grants.gov Customer Support Hotline at 8005184726 or 6065455035, at https://www.grants.gov/web/grants/support.html, or at support@grants.gov. The Grants.gov Support Hotline operates 24 hours a day, 7 days a week, except on federal holidays. 

An applicant that experiences unforeseen Grants.gov technical issues beyond its control that prevent it from submitting its application by the deadline must email the National Criminal Justice Reference Service Response Center (Response Center) at grants@ncjrs.gov within 24 hours after the application deadline to request approval to submit its application after the deadline. Additional information on reporting technical issues appears under Experiencing Unforeseen Grants.gov Technical Issues in the How To Apply (Grants.gov) section in the OJP Grant Application Resource Guide. 

For assistance with any other requirements of this solicitation, contact the Response Center by telephone at 8008513420 or TTY: 3012406310 (hearing impaired only) or by email at grants@ncjrs.gov. Response Center hours of operation are 10 a.m. to 6 p.m. ET, Monday through Friday, and 10 a.m. to 8 p.m. ET on the solicitation close date. General information on applying for OJJDP awards can be found at https://www.ojjdp.gov/funding/funding.html. Answers to frequently asked questions that may assist applicants are posted at https://ojjdp.ojp.gov/sites/g/files/xyckuh176/files/media/document/ojjdp-2020-17092-faqs.pdf.

A solicitation webinar will be held on April 13, 2020 at 2p.m. ET. This webinar will provide a detailed overview of the solicitation and allow an opportunity for interested applicants to ask questions. Preregistration is required for all participants. Register here: http://ojjdptta.adobeconnect.com/e6fpospt8bjp/event/registration.html. After the webinar, you will find the webinar recording uploaded: https://ojjdp.ojp.gov/library/multimedia/list.
grants@ncjrs.gov",,grants@ncjrs.gov,,,03/25/2020,05/26/2020,03/25/2020 17:11:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=323317"",""HHS-2020-ACL-NIDILRR-DPEM-0395"")",Disability and Rehabilitation Research Projects (DRRP) Program: Center on Knowledge Translation for Employment Research,HHS-ACL,Administration for Community Living,500000,1,"Pimjai Sudsawad
Pimjai.Sudsawad@acl.hhs.gov",,Pimjai.Sudsawad@acl.hhs.gov,,,03/25/2020,05/26/2020,03/25/2020 15:23:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321836"",""HHS-2020-ACF-OPRE-PH-1810"")",Tribal Research Center on Early Childhood Development and Systems,HHS-ACF-OPRE,Administration for Children and Families - OPRE,650000,1,"ACF Applications Help Desk
app_support@acf.hhs.gov",,app_support@acf.hhs.gov,,,03/25/2020,06/05/2020,03/25/2020 15:45:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325782"",""RFA-ES-20-009"")","Revolutionizing Innovative, Visionary Environmental Health Research (RIVER) (R35 Clinical Trial Optional)",HHS-NIH11,National Institutes of Health,4000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,03/25/2020,06/18/2020,03/25/2020 15:06:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325760"",""HR001119S0075-22"")",Simulation Enablement through Auto-Generation of Surrogate Models (Topic 22),DOD-DARPA-DSO,DARPA - Defense Sciences Office,,,"BAA Coordinator
PolyplexusPilot@darpa.mil",,PolyplexusPilot@darpa.mil,,,03/25/2020,06/08/2020,03/25/2020 08:58:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325781"",""NIJ-2020-17170"")","Assessing the Effectiveness of the Second Chance Act Grant Program: A Phased Evaluation Approach, Fiscal Year 2020",USDOJ-OJP-NIJ,National Institute of Justice,1500000,1,"For assistance with any other requirements of this solicitation, contact the National Criminal Justice Reference Service (NCJRS) Response Center: toll-free at 1-800-851-3420; via TTY at 301-240-6310 (hearing impaired only); email grants@ncjrs.gov; fax to 301-240-5830; or web chat at https://webcontact.ncjrs.gov/ncjchat/chat.jsp. The NCJRS Response Center hours of operation are 10:00 a.m. to 6:00 p.m. eastern time, Monday through Friday, and 10:00 a.m. to 8:00 p.m. eastern time on the solicitation close date. General information on applying for NIJ awards can be found at https://nij.ojp.gov/funding. Answers to frequently asked questions that may assist applicants are posted at https://nij.ojp.gov/funding/frequently-asked-questions-about-applying-grants-and-cooperative-agreements.
grants@ncjrs.gov",,grants@ncjrs.gov,,,03/25/2020,05/26/2020,03/27/2020 16:20:27,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325789"",""W81EWF-20-SOI-0009"")",MIAMI-DADE COUNTY BACK BAY COASTAL STORM RISK MANAGEMENT FEASIBILITY STUDY SCOPE OF WORK for HYDRODYAMIC MODELING AND INITIAL WATER QUALITY EVALUATIONS SUPPORTING THE FEDERAL FEASIBILITY STUDY AND NEPA DOCUMENTATION,DOD-COE,Dept. of the Army  --  Corps of Engineers,250000,,"Andrea D Knowles
Grantor
Phone 703-428-6519",,andrea.d.knowles@usace.army.mil,,,03/25/2020,05/26/2020,04/02/2020 18:18:02,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325784"",""HHS-2020-ACF-IOAS-OTIP-TV-1816"")",Human Trafficking Youth Prevention Education (HTYPE) Demonstration Grants,HHS-ACF-OTIP,Administration for Children and Families-IOAS-OTIP,3500000,6,Alexis Polen,(202) 401-6499,alexis.polen@acf.hhs.gov,05/29/2020,07/31/2020,03/25/2020,,04/29/2020 16:02:29,Forecast 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325735"",""PA-20-146"")",NIDA Small Research Grant Program (R03 Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,03/24/2020,05/07/2023,03/24/2020 09:56:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325753"",""W81XWH-20-GWIRP-NIA"")","DoD Gulf War Illness, New Investigator Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,800000,1,"CDMRP Help Desk
Phone:  301-682-5507
Email:  help@eBRAP.org",,help@eBRAP.org,,,03/24/2020,09/10/2020,03/24/2020 16:02:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325754"",""W81XWH-20-GWIRP-RAA"")","DoD Gulf War Illness, Research Advancement Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,3000000,3,"CDMRP Help Desk
Phone:  301-682-5507
Email:  help@eBRAP.org",,help@eBRAP.org,,,03/24/2020,09/10/2020,03/24/2020 16:13:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324225"",""HHS-2020-ACL-AOA-EECC-0414"")",Engaging Older Adults,HHS-ACL,Administration for Community Living,150000,1,"Sherri Clark
Sherri.Clark@acl.hhs.gov",,Sherri.Clark@acl.hhs.gov,,,03/24/2020,05/29/2020,03/24/2020 14:44:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325748"",""W81XWH-20-GWIRP-CEA"")","DoD Gulf War Illness, Clinical Evaluation Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,4800000,2,"CDMRP Help Desk
Phone:  301-682-5507
Email:  help@eBRAP.org",,help@eBRAP.org,,,03/24/2020,09/10/2020,03/24/2020 16:47:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325756"",""W81XWH-20-GWIRP-TBTA"")","DoD Gulf War Illness, Therapeutic/Biomarker Trial Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,8000000,1,"CDMRP Help Desk
Phone:  301-682-5507
Email:  help@eBRAP.org",,help@eBRAP.org,,,03/24/2020,09/10/2020,03/24/2020 16:23:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325750"",""W81XWH-20-GWIRP-PPHCA"")","DoD Gulf War Illness, Patient-Provider and Health Communications Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,960000,1,"CDMRP Help Desk
Phone:  301-682-5507
Email:  help@eBRAP.org",,help@eBRAP.org,,,03/24/2020,09/10/2020,03/24/2020 16:55:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=325721"",""USDA-NRCS-IL-CTA-20-GEN0010748"")",NRCS-IL Conservation Technical Assistance-Surveying Aides,USDA-NRCS,Natural Resources Conservation Service,2000000,12,"Rochelle McCrea
Grants Management Specialist
Phone 202-720-6898",,rochelle.mccrea@@usda.gov,,,03/24/2020,06/01/2020,03/24/2020 14:56:24,Synopsis 1,
